name_full,name_short,tax_id,parent_code,system_prefix,is_standalone,is_distributor,customer_type,region_code,region_name,invoice_company,is_priority,sales_person,sales_person_code,business_department,primary_secretary,co_secretary,payment_terms,payment_cycle_day,shipping_address,notes
秀傳醫療社團法人秀傳紀念醫院,秀傳,59274027,SCMM,SHTM,true,false,區域醫院,M,中,,false,陳虹均/劉婷方,0017,中區業務一課,楊斯閔,,120天收款,30,,
秀傳醫療社團法人高雄秀傳紀念醫院,高雄秀傳,94859639,SCSS,SHTM,true,false,地區醫院,S,南,,false,陳怡安,0081,南區業務一課,關雅婷,,60天收款,,,
台南市立醫院(委託秀傳醫療社團法人經營),市台南,06476093,SCTS,SHTM,true,false,區域醫院,S,南,,false,柯沐柔,0045,南區業務一課,關雅婷,,120天收款,30,,
佛教慈濟醫療財團法人大林慈濟醫院,慈濟大林,17954677,TCDS,TZUCHI,true,false,地區醫院,M,中,,false,黃婷瑜/蔡伊媄,0023,南區業務一課,魏伶華,,150天收款,30,,
天晟醫院中壢,天晟,26708183,TCGN,TNH,true,false,區域醫院,N,北,,false,莊新力,0087,北區業務一課,楊斯閔,,180天收款,,,
佛教慈濟醫療財團法人花蓮慈濟醫院,花慈,94848325,TCHE,TZUCHI,true,false,醫學中心,E,花東,,false,吳柏寬/葉祖潤,0067,南區業務一課,魏伶華,黃映晨,120天收款,30,,
佛教慈濟醫療財團法人台中慈濟醫院,潭子慈濟,45382432,TCTM,TZUCHI,true,false,地區醫院,M,中,,false,楊蕙如/鄒婉萱(SCS),0113,中區業務一課,楊斯閔,,150天收款,30,,
佛教慈濟醫療財團法人台北慈濟醫院,新店慈濟,21548498,TCTN,TZUCHI,true,false,醫學中心,N,北,,false,劉翊宏,0134,北區業務一課,關雅婷,,150天收款,30,,
財團法人佛教慈濟綜合醫院玉里分院,慈濟玉里,08160599,TCYE,TZUCHI,true,false,地區醫院,E,花東,,false,吳柏寬/葉祖潤,0067,南區業務一課,黃映晨,,150天收款,30,,
臺北市立聯合醫院中興院區,市中興,99958172,THCN,TPECH,true,false,區域醫院,N,北,,false,李暐/劉翊宏,0039,北區業務一課,關雅婷,,30天收款,30,,
臺北市立聯合醫院和平婦幼院區,市和平,99958172,THHN,TPECH,true,false,區域醫院,N,北,,false,李暐/劉翊宏,0039,北區業務一課,關雅婷,,90天收款,30,,
臺北市立聯合醫院仁愛院區,市仁愛,99958172,THRN,TPECH,true,false,區域醫院,N,北,,false,李暐/劉翊宏,0039,北區業務一課,關雅婷,,30天收款,30,,
臺北市立聯合醫院陽明院區,市陽明,99958172,THYN,TPECH,true,false,區域醫院,N,北,,false,李暐/劉翊宏,0039,北區業務一課,關雅婷,,30天收款,30,,
臺北市立聯合醫院忠孝院區,市忠孝,99958172,THZN,TPECH,true,false,區域醫院,N,北,,false,李暐/劉翊宏,0039,北區業務一課,關雅婷,,30天收款,30,,
新國民醫療社團法人新國民醫院,新國民,72855173,TMHN,TMU,true,false,地區醫院,N,北,,false,莊新力,0087,北區業務一課,關雅婷,,60天收款,30,,
衛生福利部雙和醫院(委託臺北醫學大學興建經營),雙和,10640785,TMSN,TMU,true,false,醫學中心,N,北,,false,劉翊宏,0172,北區業務一課,楊斯閔,,120天收款,30,,
臺北醫學大學附設醫院,北醫,04164665,TMUN,TMU,true,false,區域醫院,N,北,,false,劉翊宏,0134,北區業務一課,魏伶華,,90天收款,30,,
臺北市立萬芳醫院-委託臺北醫學大學辦理,市萬芳,97992625,TMWN,TMU,true,false,醫學中心,N,北,,false,劉翊宏,0134,北區業務一課,關雅婷,,90天收款,30,,
天成醫院楊梅,天成,45907747,TNYN,TNH,true,false,區域醫院,N,北,,false,莊新力,0087,北區業務一課,楊斯閔,,180天收款,,,
三軍總醫院附設民眾診療服務處,三總,04125805,TSGN,AFMS,true,false,醫學中心,N,北,,false,李暐,0039,北區業務一課,黃映晨,,90天收款,30,,
國軍高雄總醫院岡山分院附設民眾診療服務處,814國軍岡山,85726757,TSGS,AFMS,true,false,區域醫院,S,南,,false,陳怡安/李張銘,0081,南區業務一課,黃映晨,,60天收款,30,,
國軍花蓮總醫院附設民眾診療處,805國軍花蓮,94643358,TSHE,AFMS,true,false,區域醫院,E,花東,,false,吳柏寬/葉祖潤,0067,南區業務一課,黃映晨,,90天收款,30,,
